time_sec,mean,std,n
60.0,2.8059934,0.020246242597084595,5
120.0,2.4167524,0.01218920285744727,5
180.0,2.2140370000000003,0.0026450001890359663,5
240.0,2.0875605999999998,0.006353017928512506,5
300.0,2.0021433999999996,0.004397199199490467,5
360.0,1.9425598000000002,0.004853898865860322,5
420.0,1.89833,0.0055479511533538675,5
480.0,1.862679,0.004051772636760327,5
540.0,1.8340556,0.003263108686513492,5
600.0,1.8106532000000002,0.0016644845147972536,5
660.0,1.7934996,0.0036898394002991817,5
720.0,1.7767448,0.0012847722366240541,5
