time_sec,mean,std,n
60.0,2.2662256,0.008931736410127643,5
120.0,1.8450106000000002,0.023980994856344084,5
180.0,1.6422059999999998,0.013808591202581141,5
240.0,1.5414501999999999,0.00805270856296188,5
300.0,1.4532806,0.011958502301709854,5
360.0,1.4048981999999999,0.02694469841545824,5
420.0,1.3599162,0.012319769973501968,5
480.0,1.3310435999999999,0.02056648270366129,5
540.0,1.291778,0.0038426812253945825,5
600.0,1.293202,0.024060337404117962,5
660.0,1.25928,0.021143743779189147,5
720.0,1.2364827999999999,0.008601954527896482,5
