round,mean,std,n
0,3.7067279999999996,0.012194033951076383,5
1,3.6617888,0.02851885600265208,5
2,3.6068103999999996,0.02422146323614656,5
3,3.5728761999999996,0.023783949360860895,5
4,3.4966983999999997,0.019610980197328327,5
5,3.4698396000000002,0.03226764576630914,5
6,3.4064766,0.023412434309571416,5
7,3.3701622,0.0336841447375468,5
8,3.3151924,0.012537834833016279,5
9,3.285343,0.0324693931649484,5
10,3.2603608,0.011258073334278782,5
11,3.1985072,0.020278231325734565,5
12,3.1597406,0.019734924557747762,5
13,3.1185602,0.01034715843601521,5
14,3.113994,0.029855962662422953,5
15,3.0627576,0.02532796043506068,5
16,3.0249836000000005,0.02144591607509472,5
17,3.0083156000000004,0.02752742048031388,5
18,2.9748786,0.028292068823258538,5
19,2.9429326,0.015386181504843827,5
20,2.9167246,0.012894749330638406,5
21,2.9009934,0.03258653239146495,5
22,2.8587629999999997,0.0217230602471199,5
23,2.8188902,0.022378400595216855,5
24,2.788766,0.008520304337287498,5
25,2.7552716,0.017403748024491583,5
26,2.7481904000000004,0.049423308927063946,5
27,2.7220345999999997,0.0110404352178707,5
28,2.7020018,0.028087988566289333,5
29,2.6818228,0.02278991958520249,5
30,2.6458874000000003,0.02447658398960113,5
31,2.6297830000000006,0.017639030344664578,5
32,2.5956154000000002,0.008164453398727903,5
33,2.5985508,0.024058767314640097,5
34,2.5837978,0.03270849384640025,5
35,2.5602542,0.03938940953098931,5
36,2.5316964,0.011985387386313476,5
37,2.5245952,0.018555574706809796,5
38,2.505309,0.01662291424510158,5
39,2.4823259999999996,0.023877023830452582,5
40,2.4700263999999996,0.01708506350002837,5
41,2.4465100000000004,0.022449416896659063,5
42,2.4289474,0.01712563285837921,5
43,2.4113663999999995,0.007289379212251097,5
44,2.4038084,0.01445214604479202,5
45,2.3839021999999996,0.013390414358786634,5
46,2.3616126,0.00925335727182305,5
47,2.3621416,0.008224747461168629,5
48,2.3587187999999997,0.026585302296569777,5
49,2.327283,0.015258420855383353,5
50,2.3275174,0.020527185165043923,5
51,2.3044532,0.013088834294924762,5
52,2.3039382,0.040030927015246597,5
53,2.2771976,0.015634960850606575,5
54,2.2665713999999997,0.009130214307451893,5
55,2.2639953999999998,0.007611357520180029,5
56,2.2375374,0.01472551575667222,5
57,2.2363456,0.020255693503309115,5
58,2.2231378000000004,0.01910248659729929,5
59,2.2047616,0.012369260034456538,5
60,2.2119418000000004,0.015099200200672784,5
61,2.1898546,0.013916728254155018,5
62,2.176875,0.021998466412456986,5
63,2.1753473999999997,0.012256307653612453,5
64,2.1534654000000004,0.022810240908416483,5
65,2.1361334000000003,0.008354151171722963,5
66,2.1390286,0.01941415535891279,5
67,2.129916,0.013624555423939581,5
68,2.1157154,0.011524594235807189,5
69,2.1154654,0.025509360719155605,5
70,2.1188524,0.023614425555155798,5
71,2.0886432,0.009823497885173069,5
72,2.0839524000000003,0.010007438648325503,5
73,2.0831451999999997,0.015766651600768025,5
74,2.0744706000000006,0.016501139621250348,5
75,2.0560332000000003,0.010499816174581386,5
76,2.055641,0.016160266906830558,5
77,2.0564678,0.018755610459273243,5
78,2.0399991999999996,0.02139280425049502,5
79,2.0327832,0.01953551357656103,5
80,2.0179508,0.008478760799786704,5
81,2.027237,0.009214608157702595,5
82,2.0013446000000004,0.01816993945504503,5
83,1.9956612,0.010499422588885554,5
84,2.0027266,0.024104516771758837,5
85,1.9905211999999999,0.011125242276013633,5
86,1.9791276,0.02080158982626081,5
87,1.9737734,0.018030645005101775,5
88,1.9600564000000003,0.018141600764541178,5
89,1.988069,0.02942117906372901,5
90,1.9433251999999999,0.011255985949706917,5
91,1.942679,0.01216999394001492,5
92,1.9366222,0.014383074469667398,5
93,1.9338412000000003,0.016744626591835385,5
94,1.940095,0.013634937348590895,5
95,1.9278416,0.017908581778019118,5
96,1.9221228,0.019760866977438004,5
97,1.9287674,0.01786685627915558,5
98,1.9032211999999997,0.006722693597063622,5
99,1.9057266000000002,0.022284928523556034,5
100,1.9008133999999999,0.01992928948306992,5
101,1.891686,0.008825192717442497,5
102,1.8993760000000002,0.015292805628791635,5
103,1.890609,0.022771874878893927,5
104,1.8972270000000002,0.02365566681579702,5
105,1.8656914,0.006156663812488124,5
106,1.8669879999999999,0.016369950885692992,5
107,1.8608546000000001,0.009479443274792092,5
108,1.8571072000000002,0.012859044548488041,5
109,1.860106,0.025992810390567604,5
110,1.8597696,0.016396101009081437,5
111,1.8390377999999998,0.007788483851174153,5
112,1.8464348000000002,0.023400625946756244,5
113,1.8299392,0.016537068564289114,5
114,1.8301128000000002,0.013141167897108704,5
115,1.8277252000000002,0.014878387032874274,5
116,1.8184204000000002,0.005493799031635587,5
117,1.8060749999999999,0.011256078646669096,5
118,1.8145609999999999,0.019927224242227034,5
