round,client_id,local_step,eta_returned,loss_prev_batch,loss_curr_batch,f_ref_prev,f_ref_curr,grad_sq_norm,line_search_failed,seed
0,26,0,0.09000000000000001,4.256068229675293,3.856940507888794,4.220986243521813,4.990624808635649,31.417724609375,False,0
0,26,1,0.03874204890000002,5.225588798522949,4.423289775848389,4.990624808635649,4.784182608324309,176.23077392578125,False,0
0,26,2,0.06561000000000002,4.857029438018799,4.107057571411133,4.784182608324309,5.739374242600041,96.30267333984375,False,0
0,26,3,0.03138105960900001,5.9098801612854,5.192037582397461,5.739374242600041,5.133087561075444,199.93063354492188,False,0
0,26,4,0.05314410000000002,4.8368000984191895,4.403573989868164,5.133087561075444,5.493483137376238,76.67213439941406,False,0
0,26,5,0.05904900000000002,5.286947250366211,4.4437642097473145,5.493483137376238,5.9031330775899855,133.67750549316406,False,0
0,26,6,0.09000000000000001,4.967909812927246,0.957794189453125,5.9031330775899855,24.347411706502683,409.7300109863281,False,0
0,26,7,0.1,24.201467514038086,10.543081283569336,24.347411706502683,12.376381449180075,274.80126953125,False,0
0,26,8,0.07290000000000002,13.158930778503418,7.2431254386901855,12.376381449180075,8.140165423402692,784.4493408203125,False,0
0,26,9,0.06561000000000002,7.406187057495117,4.927484512329102,8.140165423402692,7.671727548731436,348.6775207519531,False,0
0,26,10,0.07290000000000002,8.606268882751465,7.748928070068359,7.671727548731436,8.330275834590294,85.37854766845703,False,0
0,26,11,0.05904900000000002,8.9492769241333,7.371245861053467,8.330275834590294,7.952788702332147,234.0806427001953,False,0
0,26,12,0.07290000000000002,7.135558605194092,6.386188983917236,7.952788702332147,8.657640110934922,93.02025604248047,False,0
0,26,13,0.07290000000000002,11.442259788513184,6.581282138824463,8.657640110934922,21.783832210125308,641.08642578125,False,0
0,26,14,0.04782969000000002,20.077085494995117,17.004457473754883,21.783832210125308,17.801379112520628,612.8557739257812,False,0
0,26,15,0.1,18.785938262939453,7.698666572570801,17.801379112520628,8.827077934844265,787.5560302734375,False,0
0,26,16,0.043046721000000024,8.679951667785645,7.286235809326172,8.827077934844265,7.7632341542259695,299.891357421875,False,0
